Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
sacar,,<li>to remove; to get; to receive</li><li>to serve (tennis)</li>,<li>to remove; to get; to receive</li><li>to serve (tennis)</li>,<li>to remove; to get; to receive</li><li>to serve (tennis)</li>,,,Verb,,[sound:spanishdict-3a22a841-c928a741-895a66f0-00e9877c-4e080edc.mp3],30,VerbsPast
sentir,,<li>to feel<li>to be sorry; to sympathize,<li>to feel<li>to be sorry; to sympathize,<li>to feel<li>to be sorry; to sympathize,,,Verb,,[sound:spanishdict-9c86b135-576d5466-682a3c0c-cf294f1f-bbaf40c6.mp3],30,VerbsPast
perder,,to lose,to lose,to lose,,,Verb,,[sound:spanishdict-74da49df-1d104279-75708626-baf3669e-bffdbe68.mp3],30,VerbsPast
ganar,,to win,to win,to win,,,Verb,,[sound:spanishdict-41b09475-2c03448b-a2fa40f2-01543bcb-c2b547d4.mp3],30,VerbsPast
alcanzar,l…,"to reach, to catch up with, to achieve","to reach, to catch up with, to achieve","to reach, to catch up with, to achieve",,,Verb,,[sound:spanishdict-a9c31d92-a71257d9-7a9dea9d-6cd43d47-f304a49b.mp3],30,VerbsPast
ofrecer,,to offer,to offer,to offer,,,Verb,,[sound:spanishdict-ba1b3bf7-da670464-38b8e9c0-a14ae8d5-ef351563.mp3],30,VerbsPast
insistir,,to insist,to insist,to insist,,,Verb,,[sound:spanishdict-3eb2d00e-d763aa80-6c0116be-4ed381e4-b4382d7f.mp3],30,VerbsPast
ellos/ellas quisieron,,"they wanted, they liked, they loved","they wanted, they liked, they loved","they wanted, they liked, they loved",,,Verb,,[sound:spanishdict-eddd9984-197d482e-09a0f318-0b341165-9368d188.mp3],30,VerbsPast
llover,,to rain,to rain,to rain,,,Verb,,[sound:spanishdict-6ddf7fd0-37230824-16cd31b8-5bf899df-6b24d2cd.mp3],30,VerbsPast
ellos/ellas respondieron,c…,"they answered, they replied","they answered, they replied","they answered, they replied",,,Verb,,[sound:spanishdict-9193d60b-d1b7f36d-96003974-78540f80-18ffc643.mp3],30,VerbsPast
responder,c…,to answer; to reply,to answer; to reply,to answer; to reply,,,Verb,,[sound:spanishdict-629a42e0-59fbb234-454c359f-c4d94d7c-0921f2b2.mp3],30,VerbsPast
recién,,"just, recently, newly","just, recently, newly","just, recently, newly",,,Adverb,,[sound:spanishdict-f6d46726-6b5dfb9a-30d89fca-b1989266-374d552c.mp3],30,VerbsPast
siquiera,p…,"at least, even","at least, even","at least, even",,,Adverb,,[sound:spanishdict-f574b39f-1807675c-f9dcbd2e-d3a682fe-50c851d7.mp3],30,VerbsPast
ellos/ellas llegaron,,they arrived,they arrived,they arrived,,,Verb,,[sound:spanishdict-224ce722-0e725e08-792f6c8f-95d56c57-e60ad87a.mp3],30,VerbsPast
ellos/ellas quedaron,,they stayed,they stayed,they stayed,,,Verb,,[sound:spanishdict-5969a51f-5f461e39-c017c37d-4bafb094-438f2555.mp3],30,VerbsPast
tú diste,,you gave,you gave,you gave,,,Verb,,[sound:spanishdict-5d68c34c-70d7750a-ff8b7aef-eb3dda7c-0bd78cac.mp3],30,VerbsPast
comprar,,"to buy, to purchase","to buy, to purchase","to buy, to purchase",,,Verb,,[sound:spanishdict-831fccd1-90514ed6-3cdb28de-3772a7fc-8f395b3c.mp3],31,VerbsPresent3
esperar,,to wait; to hope; to expect,to wait; to hope; to expect,to wait; to hope; to expect,,,Verb,,[sound:spanishdict-319fe094-99a51f45-1cea4f3d-a83e8f52-42938e4d.mp3],31,VerbsPresent3
necesitar,r…,"to need, to require","to need, to require","to need, to require",,,Verb,,[sound:spanishdict-e596dde5-a9014d7d-67f1c198-e8152cb4-c7335922.mp3],31,VerbsPresent3
descansar,,to rest,to rest,to rest,,,Verb,,[sound:spanishdict-c892132f-dadedd7a-9a1f2b8a-a0d738d3-8f816e51.mp3],31,VerbsPresent3
andar,caminar,to walk; to travel by,to walk; to travel by,to walk; to travel by,,,Verb,,[sound:spanishdict-610d04fd-381e2eec-b238cc88-aa3b6c04-0bcd07c6.mp3],31,VerbsPresent3
levantar,,"to pick up, to lift, to raise","to pick up, to lift, to raise","to pick up, to lift, to raise",,,Verb,,[sound:spanishdict-788c93da-be3da446-4fb5cba8-a049e0c0-62c200e3.mp3],31,VerbsPresent3
rechazar,,to reject; to refuse,to reject; to refuse,to reject; to refuse,,,Verb,,[sound:spanishdict-04eb5426-56bc1b06-54a69dd5-382d522b-7a43124d.mp3],31,VerbsPresent3
trabajar,o…,to work,to work,to work,,,Verb,,[sound:spanishdict-9fda09ae-914ae97c-e6c6cac2-537511ed-6128808e.mp3],31,VerbsPresent3
cortar,,to cut,to cut,to cut,,,Verb,,[sound:spanishdict-8a23e0c9-2543956c-02617bd9-4ad37788-7db2eed0.mp3],31,VerbsPresent3
ocupar,,"to take up, to occupy","to take up, to occupy","to take up, to occupy",,,Verb,,[sound:spanishdict-e6ac129b-98dd784c-8ba5c8be-9e737c8a-17215167.mp3],31,VerbsPresent3
manejar,,<li>to operate; to handle; to wield<li>to drive,<li>to operate; to handle; to wield<li>to drive,<li>to operate; to handle; to wield<li>to drive,,,Verb,,[sound:spanishdict-1227ec74-8a5d8f69-f04d62a3-81e36b20-462dd834.mp3],31,VerbsPresent3
interesar,,to concern; to be of interest,to concern; to be of interest,to concern; to be of interest,,,Verb,,[sound:spanishdict-580dc568-a8ac30bd-95db7b1c-a090c316-8c8850bb.mp3],31,VerbsPresent3
entender,comprender,to understand,to understand,to understand,,,Verb,,[sound:spanishdict-c2ed7a3e-114f47ff-cee67a63-0fad0daf-ce5eb47c.mp3],31,VerbsPresent3
derrotar,,to defeat,to defeat,to defeat,,,Verb,,[sound:spanishdict-40666902-45d722e1-4eb62ca2-d277db82-aa8219cd.mp3],31,VerbsPresent3
costar,valer,to cost,to cost,to cost,,,Verb,,[sound:spanishdict-940cbe53-1bdcf074-24c64568-2b7703bc-44fa2977.mp3],31,VerbsPresent3
gastar,,to spend,to spend,to spend,,,Verb,,[sound:spanishdict-d8987329-2b587cf4-a4df033d-9420cdec-b9ce825b.mp3],31,VerbsPresent3
valer,costar,to cost; to be worth,to cost; to be worth,to cost; to be worth,,,Verb,,[sound:spanishdict-27275d31-1c2256bc-ea751ddc-43579aa1-ca9ca346.mp3],31,VerbsPresent3
contener,,to contain,to contain,to contain,,,Verb,,[sound:spanishdict-8d309a45-bfa0d4be-5fea9130-85970df0-12b81bba.mp3],31,VerbsPresent3
reconocer,,to recognize,to recognize,to recognize,,,Verb,,[sound:spanishdict-b8be9d54-d95b0d6f-86ad8447-ef8d741b-59c522e8.mp3],31,VerbsPresent3
vivir,,to live,to live,to live,,,Verb,,[sound:spanishdict-b4b33341-4f76b638-7ce5f24d-8c36c599-22f48c59.mp3],31,VerbsPresent3
añadir,s…,to add,to add,to add,,,Verb,,[sound:spanishdict-97aba910-f0ce5bb0-36969217-1601c9e8-ad4a082d.mp3],31,VerbsPresent3
permitir,d…,"to allow, to permit","to allow, to permit","to allow, to permit",,,Verb,,[sound:spanishdict-cda65901-f9033515-7ec6f57a-7f745dbe-e5460338.mp3],31,VerbsPresent3
utilizar,usar,to use,to use,to use,,,Verb,,[sound:spanishdict-60a06910-a5e8efaf-781826f1-ec3b2b2b-b9e8b043.mp3],31,VerbsPresent3
usar,utilizar,to use,to use,to use,,,Verb,,[sound:spanishdict-28f9eee4-8a40aa0d-fd1cda01-81fdeab3-9094c68e.mp3],31,VerbsPresent3
tratar,intentar,to try,to try,to try,,,Verb,,[sound:spanishdict-d89027f3-a18ad0ed-a0613cc8-8355f575-f32a9ac8.mp3],31,VerbsPresent3
pertenecer,,to belong to,to belong to,to belong to,,,Verb,,[sound:spanishdict-43059743-02dd7d7c-a30b3bd4-185f48de-6719ca48.mp3],31,VerbsPresent3
creer,,to believe,to believe,to believe,,,Verb,,[sound:spanishdict-118ecca0-a975f357-ec87d6b8-517c2a42-10d55354.mp3],31,VerbsPresent3
parar,terminar / acabar / finir,to stop,to stop,to stop,,,Verb,,[sound:spanishdict-41497503-84784251-27b01b73-9a884493-de41380f.mp3],31,VerbsPresent3
poseer,t…,"to have, to own","to have, to own","to have, to own",,,Verb,,[sound:spanishdict-f802bcb2-82c5c9c6-ff30a0c9-928daf12-6f83c34a.mp3],31,VerbsPresent3
continuar,,to continue,to continue,to continue,,,Verb,,[sound:spanishdict-d96feac2-9410f336-b4f43b07-753c3fd9-5e23af80.mp3],31,VerbsPresent3
mezclar,,to mix,to mix,to mix,,,Verb,,[sound:spanishdict-0cfde3ce-3f840185-eab2f01c-3932fbba-a13d71b8.mp3],31,VerbsPresent3
reservar,,to book; to reserve,to book; to reserve,to book; to reserve,,,Verb,,[sound:spanishdict-91b29f0b-c7018dcd-16f9220b-bd689062-8281962f.mp3],31,VerbsPresent3
expresar,,to express,to express,to express,,,Verb,,[sound:spanishdict-9b2f0aca-496a29c2-d54a203b-cd6dab67-b53e791b.mp3],31,VerbsPresent3
crear,,to create,to create,to create,,,Verb,,[sound:spanishdict-b365a8d9-6fd9cd49-5fc5b9d4-77ad91cb-2c31fe36.mp3],31,VerbsPresent3
poner,colocar,"to put, to place","to put, to place","to put, to place",,,Verb,,[sound:spanishdict-3d363934-84d82480-402f61d1-73f560fd-11872b66.mp3],31,VerbsPresent3
regresar,volver,to return,to return,to return,,,Verb,,[sound:spanishdict-e19f1b95-ab3da24b-f49556bc-60057a7a-f009ae10.mp3],31,VerbsPresent3
salvar,,to save; to rescue,to save; to rescue,to save; to rescue,,,Verb,,[sound:spanishdict-fa338a63-ca8f615a-0240f349-db6608c0-c20250db.mp3],31,VerbsPresent3
dudar,,to doubt,to doubt,to doubt,,,Verb,,[sound:spanishdict-526d35f6-a3043849-57040db7-84b29324-ad9c50a0.mp3],31,VerbsPresent3
llenar,,"to fill, to fill up","to fill, to fill up","to fill, to fill up",,,Verb,,[sound:spanishdict-df81626d-5a1d0166-316a9fcd-24fcfb1b-2f857d7d.mp3],31,VerbsPresent3
odiar,,to hate,to hate,to hate,,,Verb,,[sound:spanishdict-a1844699-23801491-0acbf91a-87a792e3-cf31a429.mp3],31,VerbsPresent3
saltar,,to jump,to jump,to jump,,,Verb,,[sound:spanishdict-bfd6393e-9d2396f0-d66f6e84-14385804-30d45d42.mp3],31,VerbsPresent3
secar,,to dry,to dry,to dry,,,Verb,,[sound:spanishdict-81d51b89-309dd915-e44ddb87-ade303c5-9c18d41f.mp3],31,VerbsPresent3
observar,,to observe; to notice; to remark,to observe; to notice; to remark,to observe; to notice; to remark,,,Verb,,[sound:spanishdict-cb16601a-eb7d280c-c488d6d3-b806a62e-c2dc22b8.mp3],31,VerbsPresent3
pasar,s…,to pass; to happen,to pass; to happen,to pass; to happen,,,Verb,,[sound:spanishdict-91349f23-5e51e004-d4cf55c8-2eed4b9e-543ac38c.mp3],31,VerbsPresent3
consultar,,to consult,to consult,to consult,,,Verb,,[sound:spanishdict-3d20eb57-d9aabbd4-33d6d56d-e9843685-aa7f7989.mp3],31,VerbsPresent3
volar,,to fly; to explode,to fly; to explode,to fly; to explode,,,Verb,,[sound:spanishdict-a4ed6a64-1b4868ed-f6804091-0e08ec4f-389e007d.mp3],31,VerbsPresent3
cantar,,to sing,to sing,to sing,,,Verb,,[sound:spanishdict-f4f66f75-f4a0b0cc-bde7510d-bba762f5-3a9fb5c2.mp3],31,VerbsPresent3
tirar,l…,to throw; to pull,to throw; to pull,to throw; to pull,,,Verb,,[sound:spanishdict-23e5fa71-8c6994ff-82f27c75-4b8da785-85208958.mp3],31,VerbsPresent3
curar,,to cure; to heal,to cure; to heal,to cure; to heal,,,Verb,,[sound:spanishdict-9aed0a0e-b7a8786e-c3c416f1-97e77449-0a2f43e1.mp3],31,VerbsPresent3
girar,volver,to turn; to spin,to turn; to spin,to turn; to spin,,,Verb,,[sound:spanishdict-b89a5eb6-df12ea4c-90ae8df7-8c12c4c4-4837cf97.mp3],31,VerbsPresent3
desear,q…,"to want, to desire","to want, to desire","to want, to desire",,,Verb,,[sound:spanishdict-b2f9d647-1691753c-5028a01e-e5c5484c-f41878cb.mp3],31,VerbsPresent3
dejar,,to leave; to allow; to let,to leave; to allow; to let,to leave; to allow; to let,,,Verb,,[sound:spanishdict-ea9195df-cb7f8a2c-24bbe5d7-3a923402-90132e91.mp3],31,VerbsPresent3
mejorar,,to improve,to improve,to improve,,,Verb,,[sound:spanishdict-a4b0120c-6da92d02-677f232a-b7859399-b3ef3fe8.mp3],31,VerbsPresent3
afectar,,to affect,to affect,to affect,,,Verb,,[sound:spanishdict-28b170db-c608538c-79b9d8d7-0fb99b5f-2663e9f0.mp3],31,VerbsPresent3
resolver,,to solve; to resolve,to solve; to resolve,to solve; to resolve,,,Verb,,[sound:spanishdict-8c48ce49-b0338d35-fefccd34-eed63aec-1c460580.mp3],32,VerbsInfinitive1
producir,,to produce,to produce,to produce,,,Verb,,[sound:spanishdict-d489ac41-fce44e34-906fc1e2-cc89222f-abb3221f.mp3],32,VerbsInfinitive1
evitar,,to avoid; to prevent,to avoid; to prevent,to avoid; to prevent,,,Verb,,[sound:spanishdict-a2c552e1-ab4574cd-a7733d3f-c22c447e-49e90d53.mp3],32,VerbsInfinitive1
realizar,hacer,to do; to make; to fulfill,to do; to make; to fulfill,to do; to make; to fulfill,,,Verb,,[sound:spanishdict-15b29e8c-78858385-27fd068d-da61e86a-13b69505.mp3],32,VerbsInfinitive1
mantener,,to maintain; to keep,to maintain; to keep,to maintain; to keep,,,Verb,,[sound:spanishdict-68b346c9-86749814-a2a1d483-667f995e-759e03f7.mp3],32,VerbsInfinitive1
cambiar,,to change,to change,to change,,,Verb,,[sound:spanishdict-e656471b-42b677c8-dae7e904-626c631d-120ba345.mp3],32,VerbsInfinitive1
establecer,,to establish,to establish,to establish,,,Verb,,[sound:spanishdict-fde0193e-e4c6a20a-c8132838-d48883af-f005395c.mp3],32,VerbsInfinitive1
morir,,to die,to die,to die,,,Verb,,[sound:spanishdict-04b4d1ae-9c5451bb-56facda8-48723b88-409007ea.mp3],32,VerbsInfinitive1
alquilar,,to rent ((e.g. a car)),to rent ((e.g. a car)),to rent,(e.g. a car),,Verb,,[sound:spanishdict-b61f4edc-4a907208-2d4486f7-fe07944f-4698879a.mp3],32,VerbsInfinitive1
despertar,,to wake up,to wake up,to wake up,,,Verb,,[sound:spanishdict-4850146b-b5f99eb5-84fd9987-ed97247d-f8fdbdfd.mp3],32,VerbsInfinitive1
partir,dejar,<li>to divide<li>to leave,<li>to divide<li>to leave,<li>to divide<li>to leave,,,Verb,,[sound:spanishdict-df8dac37-8be7cd65-94a78ccd-9b7f09d5-758838b4.mp3],32,VerbsInfinitive1
repetir,,to repeat,to repeat,to repeat,,,Verb,,[sound:spanishdict-6ad6fcb2-3150ce23-de7455f8-946008bd-887d654f.mp3],32,VerbsInfinitive1
reducir,,"to reduce, to decrease","to reduce, to decrease","to reduce, to decrease",,,Verb,,[sound:spanishdict-ed788304-3d2b7daa-e136ae35-1f913518-aa6edac1.mp3],33,VerbsPhrasalFuture
olvidar,,to forget,to forget,to forget,,,Verb,,[sound:spanishdict-a507eed2-6ea1d301-58068018-865e3ff6-00985b9d.mp3],33,VerbsPhrasalFuture
comprender,entender,"to understand, to comprehend","to understand, to comprehend","to understand, to comprehend",,,Verb,,[sound:spanishdict-8d534936-c3bc36a7-53c21395-6c37a75d-99393388.mp3],33,VerbsPhrasalFuture
demostrar,,to demonstrate; to prove,to demonstrate; to prove,to demonstrate; to prove,,,Verb,,[sound:spanishdict-53b7bb7f-187bb640-3d493d2b-8775102b-219c4d9e.mp3],33,VerbsPhrasalFuture
controlar,,to control,to control,to control,,,Verb,,[sound:spanishdict-214b4ed9-5261b109-da5983f0-c980a530-60fa73a0.mp3],33,VerbsPhrasalFuture
defender,,to defend,to defend,to defend,,,Verb,,[sound:spanishdict-637b7940-05031e10-d006312d-4a9fcbdd-c0e1923a.mp3],33,VerbsPhrasalFuture
vender,,to sell,to sell,to sell,,,Verb,,[sound:spanishdict-4d648238-d5880295-d17a1df7-193ef6b2-f2cc5228.mp3],33,VerbsPhrasalFuture
aplicar,,to apply,to apply,to apply,,,Verb,,[sound:spanishdict-f3f68413-b09a12ec-c4b01abc-3358015f-97191bc0.mp3],33,VerbsPhrasalFuture
descubrir,,"to discover, to invent; to reveal","to discover, to invent; to reveal","to discover, to invent; to reveal",,,Verb,,[sound:spanishdict-c8c30411-4df5e61f-9c4b8570-ff3ce923-e20539e4.mp3],33,VerbsPhrasalFuture
aprender,,to learn,to learn,to learn,,,Verb,,[sound:spanishdict-dcfa9886-88ca25a6-eb81d785-267502a7-4050b7d1.mp3],33,VerbsPhrasalFuture
superar,,to overcome,to overcome,to overcome,,,Verb,,[sound:spanishdict-3a858f4f-c130f0b2-67074ea3-b5263048-9bdacad1.mp3],33,VerbsPhrasalFuture
recuperar,,"to recover; to regain, to retrieve","to recover; to regain, to retrieve","to recover; to regain, to retrieve",,,Verb,,[sound:spanishdict-6d697ece-b0bb9951-0788adde-ae4873c6-5f4a70b5.mp3],33,VerbsPhrasalFuture
elegir,,"to choose, to select; to elect","to choose, to select; to elect","to choose, to select; to elect",,,Verb,,[sound:spanishdict-a3f4321a-b5eb11c1-73207ef7-46b06c40-78f4552e.mp3],33,VerbsPhrasalFuture
escuchar,,to actively listen,to actively listen,to actively listen,,,Verb,,[sound:spanishdict-e884d762-69886420-c7c6cb84-02ecf252-51f5141f.mp3],33,VerbsPhrasalFuture
abandonar,,to abandon; to leave,to abandon; to leave,to abandon; to leave,,,Verb,,[sound:spanishdict-9844d72b-23aaa81d-95131089-2b35fca2-315bfef9.mp3],33,VerbsPhrasalFuture
aumentar,,to increase,to increase,to increase,,,Verb,,[sound:spanishdict-67f641c7-a057fb63-33330e55-218ea6df-080a2c4f.mp3],33,VerbsPhrasalFuture
París,,Paris,Paris,Paris,,,Nouname,,[sound:spanishdict-8361751b-6017a62d-690e5da6-eed39afe-e393e1e4.mp3],34,Countries
Roma,,Rome,Rome,Rome,,,Nouname,,[sound:spanishdict-6d672015-f34e527b-8fa7c1ee-7ffbe1aa-c574b089.mp3],34,Countries
América,,America,America,America,,,Nouname,,[sound:spanishdict-8e753922-68aeef61-5f17b19e-d6d4a76e-3663fa26.mp3],34,Countries
Europa,,Europe,Europe,Europe,,,Nouname,,[sound:spanishdict-042f51f4-f7260aff-b442a6ff-c55d1d92-7ba58f08.mp3],34,Countries
China,,China,China,China,,,Nouname,,[sound:spanishdict-b00fd971-4a22cf5b-32fd7b56-e422c25a-2c3c631a.mp3],34,Countries
Inglaterra,,England,England,England,,,Noun,f,[sound:spanishdict-d41193dd-eb9dd447-9de01838-947a1d27-5b2cedd4.mp3],34,Countries
"español, española",,Spanish,Spanish,Spanish,,,Adjective,,[sound:spanishdict-06f9fd21-de2c927b-3b1c411a-7d3a3c56-c99f94d5.mp3],34,Countries
"inglés, inglesa",,English,English,English,,,Adjective,,[sound:spanishdict-4adb4c67-c74fba1e-a9ba5260-ee6493c6-81030413.mp3],34,Countries
"cubano, cubana",,Cuban,Cuban,Cuban,,,Adjective,,[sound:spanishdict-1cd095d8-972f5f74-bef6b2e9-699d0b72-135238ef.mp3],34,Countries
estadounidense,americano,American,American,American,,,Adjective,,[sound:spanishdict-cf0e3c68-59623015-1e788db4-41b8b31e-c422f908.mp3],34,Countries
"extranjero, extranjera",,foreign,foreign,foreign,,,Adjective,,[sound:spanishdict-6fa1597a-2cc8b228-00f93e40-280a7e36-d60dfcf5.mp3],34,Countries
México,,Mexico,Mexico,Mexico,,,Nouname,,[sound:spanishdict-e0bdf359-1a45348c-6cbc8be5-e63720bf-6412aeda.mp3],34,Countries
España,,Spain,Spain,Spain,,,Noun,f,[sound:spanishdict-bdb6f047-441c1715-ce7ffddf-e40d76e4-e887ccbe.mp3],34,Countries
Francia,,France,France,France,,,Nouname,,[sound:spanishdict-1946354f-600af77b-9a6128a2-9113651e-951ced07.mp3],34,Countries
Argentina,,Argentina,Argentina,Argentina,,,Nouname,,[sound:spanishdict-bda416cb-e9e1cfd9-b1944932-60396f19-43fe85ce.mp3],34,Countries
"francés, francesa",,French,French,French,,,Adjective,,[sound:spanishdict-33115c34-c3a97749-4972527c-e181c0f0-cd1749f8.mp3],34,Countries
"norteamericano, norteamericana",,North American,North American,North American,,,Adjective,,[sound:spanishdict-6419d46f-2cb08efc-e9d9c60e-b3188e83-88fa8c19.mp3],34,Countries
internacional,,international,international,international,,,Adjective,,[sound:spanishdict-855f6fe1-d27d6aa9-54f86306-4abfe5fa-2dca4fae.mp3],34,Countries
"europeo, europea",,European,European,European,,,Adjective,,[sound:spanishdict-ecfd6ae5-11ccead1-eae1180d-5e63c523-c140f551.mp3],34,Countries
"italiano, italiana",,Italian,Italian,Italian,,,Adjective,,[sound:spanishdict-5f9f15e0-5aa1b45d-2a870d4e-2c848e26-48f60b7c.mp3],34,Countries
"mexicano, mexicana",,Mexican,Mexican,Mexican,,,Adjective,,[sound:spanishdict-8d465a99-e9912c91-a6ab29fa-acd39835-ba85395f.mp3],34,Countries
"argentino, argentina",,Argentinian,Argentinian,Argentinian,,,Adjective,,[sound:spanishdict-41554ed6-3d291860-b3f4f796-7c4a34eb-4ff5a0bc.mp3],34,Countries
"chino, china",,Chinese,Chinese,Chinese,,,Adjective,,[sound:spanishdict-6ecc2f1c-168eb333-3e585937-133076b3-cd4e3e05.mp3],34,Countries
"británico, británica",,British,British,British,,,Adjective,,[sound:spanishdict-c2df06db-0ef7ecc4-7126b8a1-cb0287e4-0edd4d03.mp3],34,Countries
"americano, americana",estadounidense,American,American,American,,,Adjective,,[sound:spanishdict-857021c7-2983780d-49429a55-f656345b-ffe5c262.mp3],34,Countries
independiente,,independent,independent,independent,,,Adjective,,[sound:spanishdict-b2af4414-5da018a8-07a91451-8e78fe09-9e04e1f8.mp3],35,Adjectives2
"extraño, extraña",,strange,strange,strange,,,Adjective,,[sound:spanishdict-f6d9fa0f-c228a107-0f2c8645-fd31483a-152b72f1.mp3],35,Adjectives2
ideal,,ideal,ideal,ideal,,,Adjective,,[sound:spanishdict-e123ee41-d670dc90-36f99aa4-77c9f614-e4736044.mp3],35,Adjectives2
múltiple,,multiple,multiple,multiple,,,Adjective,,[sound:spanishdict-cbec3d8d-4ff0be21-d799234b-4e557c52-2f89f602.mp3],35,Adjectives2
"máximo, máxima",,maximum,maximum,maximum,,,Adjective,,[sound:spanishdict-ba4d1db5-eba9b003-9b94692e-6f1d8642-b8868c3e.mp3],35,Adjectives2
"amplio, amplia",,"wide, roomy, spacious","wide, roomy, spacious","wide, roomy, spacious",,,Adjective,,[sound:spanishdict-2c3c266b-3ff7e7a9-d1f92325-43332751-44361a4b.mp3],35,Adjectives2
"numeroso, numerosa",,"numerous, many","numerous, many","numerous, many",,,Adjective,,[sound:spanishdict-132b44a1-46f5aaab-2297944e-c5e2291a-841f56c4.mp3],35,Adjectives2
intelectual,,intellectual,intellectual,intellectual,,,Adjective,,[sound:spanishdict-18f29a1e-e2d9d6d3-9f0483b2-92a76292-8e51ba4c.mp3],35,Adjectives2
"loco, loca",,crazy,crazy,crazy,,,Adjective,,[sound:spanishdict-cc0b7c3f-53c9ae30-0ffe18bb-3722bf6e-aef521c4.mp3],35,Adjectives2
"antiguo, antigua",,ancient,ancient,ancient,,,Adjective,,[sound:spanishdict-1e245b41-d7d03871-2f1ddd4b-999fe086-34af3da9.mp3],35,Adjectives2
dulce,,sweet,sweet,sweet,,,Adjective,,[sound:spanishdict-8b9391d0-c51661ab-827674c2-591fa499-59e10bac.mp3],35,Adjectives2
similar,se… / p…,similar,similar,similar,,,Adjective,,[sound:spanishdict-a6cef1f1-f913edf0-90231fc9-cd160c84-28118648.mp3],35,Adjectives2
"moderno, moderna",,modern,modern,modern,,,Adjective,,[sound:spanishdict-bc36911f-8b5d4952-7155eee3-29c85838-e67df5bf.mp3],35,Adjectives2
común,,"common, ordinary","common, ordinary","common, ordinary",,,Adjective,,[sound:spanishdict-cfdbcad6-ab8f2067-5d5e5feb-6d8818f6-35d2da16.mp3],35,Adjectives2
"puro, pura",,pure,pure,pure,,,Adjective,,[sound:spanishdict-7d4fb538-b4320f39-80268c4a-9964df41-b8931d94.mp3],35,Adjectives2
"oscuro, oscura",,dark,dark,dark,,,Adjective,,[sound:spanishdict-3a870498-e44e297c-d52eea7c-b0fdc187-18c4f9f0.mp3],35,Adjectives2
formal,,formal,formal,formal,,,Adjective,,[sound:spanishdict-612d6d2a-72845f29-154b762d-b309ad95-a8761d56.mp3],35,Adjectives2
"enfermo, enferma",,sick,sick,sick,,,Adjective,,[sound:spanishdict-98a7a060-527a8f8e-ad051429-2f3ff7cc-e5b472d4.mp3],35,Adjectives2
"cansado, cansada",,tired,tired,tired,,,Adjective,,[sound:spanishdict-b3bd1b62-913b7888-d5d3c061-f8a067fc-c333a82d.mp3],35,Adjectives2
libre,g…,free,free,free,,,Adjective,,[sound:spanishdict-da1faf48-adb49b45-24601c04-81ddecf9-2cb4e70e.mp3],35,Adjectives2
"profundo, profunda",,deep; profound,deep; profound,deep; profound,,,Adjective,,[sound:spanishdict-ec433ecb-73444f3c-162b8142-64313705-33764b51.mp3],35,Adjectives2
presente,,present,present,present,,,Adjective,,[sound:spanishdict-6a50cdbe-ae9cf7e9-c289d2d7-d604bc74-dd35992f.mp3],35,Adjectives2
"limpio, limpia",,clean,clean,clean,,,Adjective,,[sound:spanishdict-45698adb-f1045d6d-ecd14f72-9e071f69-a291b471.mp3],35,Adjectives2
"elevado, elevada",,"high, elevated","high, elevated","high, elevated",,,Adjective,,[sound:spanishdict-16d23073-572390f0-c7e06dac-2f5ef9f3-708eba6a.mp3],35,Adjectives2
"escaso, escasa",r…,"scarce, rare","scarce, rare","scarce, rare",,,Adjective,,[sound:spanishdict-d8d2d412-7ad4c26d-3d176250-ab76b0d8-a1a41a0e.mp3],35,Adjectives2
"previo, previa",a…,"previous, former","previous, former","previous, former",,,Adjective,,[sound:spanishdict-a06279d4-6090d080-1e24beeb-789c3f2d-cc66e64e.mp3],35,Adjectives2
pendiente,,pending,pending,pending,,,Adverb,,[sound:spanishdict-609d83d9-c317a246-ad7a96b1-0a176613-02540486.mp3],35,Adjectives2
eléctrico,,electric,electric,electric,,,Adjective,,[sound:spanishdict-5f888e77-4e18513a-e84dd2c2-76407671-abf34605.mp3],35,Adjectives2
"vivo, viva",,alive,alive,alive,,,Adjective,,[sound:spanishdict-4d124c06-9e8c9817-51095bac-2480e06c-b04292ad.mp3],35,Adjectives2
difícil,,difficult,difficult,difficult,,,Adjective,,[sound:spanishdict-5fef2580-8bcd5cf1-32854144-87c4c981-f82c5526.mp3],35,Adjectives2
"básico, básica",,basic,basic,basic,,,Adjective,,[sound:spanishdict-be0738eb-6f78c82d-b22ceea5-bf8251b1-cff48d18.mp3],35,Adjectives2
"perfecto, perfecta",,perfect,perfect,perfect,,,Adjective,,[sound:spanishdict-eec3fb76-0aa7b715-d99f9465-54ddf459-b87bd167.mp3],35,Adjectives2
consciente,,conscious,conscious,conscious,,,Adjective,,[sound:spanishdict-012a1583-bb5ba3fd-680be869-cb33645e-d525381e.mp3],35,Adjectives2
"sencillo, sencilla",simplamente,simple,simple,simple,,,Adjective,,[sound:spanishdict-bdde1007-1ad99096-f4d2b11b-5e7d1452-077210b8.mp3],35,Adjectives2
"tranquilo, tranquila",,tranquil; quiet; calm,tranquil; quiet; calm,tranquil; quiet; calm,,,Adjective,,[sound:spanishdict-f7cf8b37-dba5c516-9f921f90-ba392f0b-e9b23660.mp3],35,Adjectives2
legal,,legal,legal,legal,,,Adjective,,[sound:spanishdict-f53b7046-21f448e2-e2decb08-f459d45a-0c984d75.mp3],35,Adjectives2
